Date,Description,Amount,Category,
12/24/2025,RENEWAL MEMBERSHIP FEE,695,Subscriptions,
12/23/2025,AplPay BONANZA GIFT LAS VEGAS           NV,35.66,Hobbies (Travel Souvenirs),
12/23/2025,AplPay FAMOUS PIONEELAS VEGAS           NV,8.65,Hobbies (Travel Souvenirs),
12/23/2025,"AplPay RTC, Las VegaLas Vegas           NV",8,Transportation (Travel),
12/23/2025,STRATOSPHERE TICKETILAS VEGAS           NV,26.95,Fun (Travel),
12/21/2025,AMEX CLEAR PLUS CREDIT,-209,Subscriptions,
12/21/2025,AplPay WHOLEFDS NPT NEWPORT BEACH       CA,10.78,Food,
12/21/2025,CLEAR *CLEARME.COM  NEW YORK            NY,209,Subscriptions,
12/21/2025,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,13.99,Subscriptions,
12/21/2025,LULULEMON FASHION ISNEWPORT BEACH       CA,88.36,Clothes & Merch,
12/21/2025,Platinum Digital Entertainment Credit,-13.99,Subscriptions,
12/21/2025,Platinum Lululemon Credit,-75,Clothes & Merch,
12/20/2025,MOBILE PAYMENT - THANK YOU,-2323.94,,
12/17/2025,AplPay RIVIAN CAFE 5IRVINE              CA,2.83,Food (Coffee & Energy),
12/14/2025,PAYPAL *STEAM GAMES 4259522985          WA,10,Hobbies (Games),
12/14/2025,SPIRIT AL DIRECT SALES,49.99,Flight (Travel),
12/13/2025,FRONTIER AIRLINES AIDENVER              CO,128.98,Flight (Travel),
12/12/2025,Platinum Walmart+ Credit,-14.1,Subscriptions,
12/12/2025,WMT PLUS Dec 2025 028009666546          AR,14.1,Subscriptions,
12/07/2025,AplPay Wayfair      866-263-8325        MA,90.5,Furniture (Home) (Necessities) (Moving In),
12/06/2025,Amex Send: Add Money,1550,Rent,
12/05/2025,AplPay AMERICAN AIRLFT WORTH            TX,35,Flight  (Moving In),
12/05/2025,AplPay AMERICAN AIRLFT WORTH            TX,45,Flight  (Moving In),
12/05/2025,AplPay STAPLES  APPLFRAMINGHAM          MA,140.06,Furniture (Home) (Necessities) (Moving In),
12/05/2025,MOBILE PAYMENT - THANK YOU,-475.5,,
12/04/2025,PAYPAL *STEAM GAMES 4259522985          WA,5,Hobbies (Games),
12/03/2025,AplPay CVS/PHARMACY NEW YORK            NY,7.99,Clothes & Merch (Well-Being) (Necessities),
12/02/2025,AplPay OMNY VENDING*NEW YORK            NY,10,Subscriptions,
12/01/2025,Wayfair             866-263-8325        MA,258.59,Furniture (Home) (Necessities) (Moving In),
11/30/2025,CUROLOGY / AGENCY   SAN DIEGO           CA,106.5,Face & Body (Well-Being) (Necessities),
11/28/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.9,Transportation,
11/28/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.9,Transportation,
11/27/2025,MACYS   .COM 0000001MASON               OH,39.99,Gifts,
11/26/2025,AplPay TARGET       ELMHURST            NY,101.07,Gifts (Home) (Necessities),
11/26/2025,AplPay TARGET       ELMHURST            NY,22.5,Gifts ,
11/26/2025,AplPay TARGET       ELMHURST            NY,22.5,Groceries,
11/26/2025,SPOTIFY USA         NEW YORK            NY,5.99,Subscriptions,
11/25/2025,AplPay MICHAELS STORVALLEY STREAM       NY,13.51,Clothes & Merch,
11/25/2025,PAYPAL *STEAM GAMES 4259522985          WA,10,Hobbies (Games),
11/22/2025,AplPay DUANE READE  FLUSHING            NY,4.72,Groceries,
11/22/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.9,Transportation,
11/22/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.9,Transportation,
11/22/2025,AplPay NYCT PAYGO   NEW YORK            NY,8.5,Flight (Travel),
11/21/2025,AplPay METROLINK 000LOS ANGELES         CA,10,Transportation (Travel),
11/21/2025,MOBILE PAYMENT - THANK YOU,-1591.32,,
11/20/2025,AplPay RIVIAN CAFE 5IRVINE              CA,8.62,Food,
11/19/2025,AplPay CVS/PHARMACY SANTA ANA           CA,4.46,Groceries,
11/18/2025,AplPay CVS/PHARMACY SANTA ANA           CA,8.08,Groceries,
11/18/2025,AplPay CVS/PHARMACY SANTA ANA           CA,8.98,Groceries,
11/18/2025,PAYPAL *STEAM GAMES 4259522985          WA,100,Hobbies (Games),
11/17/2025,AplPay RIVIAN CAFE 5IRVINE              CA,2.73,Food (Coffee & Energy),
11/13/2025,PAYPAL *STEAM GAMES 4259522985          WA,25,Hobbies (Games),
11/12/2025,AplPay RIVIAN CAFE 5IRVINE              CA,12.39,Food,
11/12/2025,Platinum Walmart+ Credit,-14.1,Subscriptions,
11/12/2025,WMT PLUS Nov 2025 028009666546          AR,14.1,Subscriptions,
11/10/2025,AMERICAN AIRLINES   800-433-7300        TX,125.18,Flight (Travel),
11/10/2025,AplPay RIVIAN CAFE 5IRVINE              CA,12.39,Food,
11/10/2025,MOTEL 6 SANTA ANA   SANTA ANA           CA,71.3,Rent,
11/10/2025,MOTEL 6 SANTA ANA   SANTA ANA           CA,213.9,Rent,
11/10/2025,PAYPAL *STEAM GAMES 4259522985          WA,5,Hobbies (Games),
11/09/2025,AplPay PIER GRILL & SAN CLEMENTE        CA,-9.69,Hobbies (Travel Souvenirs),
11/09/2025,AplPay THE SAN CLEMESAN CLEMENTE        CA,16.97,Hobbies (Travel Souvenirs),
